features,prediction
"[68.0,7.1250461133070315,2009.0]",0
"[83.0,5.5,2012.0]",3
"[86.0,7.9,2009.0]",3
"[73.0,8.0,2003.0]",2
"[87.0,7.8,2009.0]",3
"[83.0,7.0,2008.0]",3
"[68.0,7.1250461133070315,0.0]",1
"[80.0,7.9,2001.0]",3
"[75.0,8.0,2010.0]",0
"[87.0,4.9,2013.0]",3
"[68.0,7.1250461133070315,2000.0]",2
"[78.0,7.0,2012.0]",3
"[68.0,7.1250461133070315,1986.0]",2
"[50.0,5.4,2008.0]",4
"[68.0,7.1250461133070315,2008.0]",0
"[68.0,7.1250461133070315,1999.0]",2
"[82.0,7.5,2006.0]",3
"[68.0,7.1250461133070315,2003.0]",2
"[79.0,8.8,2002.0]",3
"[25.0,4.3,2007.0]",4
"[92.0,8.6,2015.0]",3
"[68.0,7.1250461133070315,1998.0]",2
"[70.0,7.4,2002.0]",2
"[85.0,7.7,2008.0]",3
"[92.0,8.2,0.0]",1
"[90.0,8.0,2012.0]",3
"[82.0,7.7,2011.0]",3
"[87.0,6.1,2008.0]",3
"[83.0,7.0,2014.0]",3
"[68.0,7.1250461133070315,1992.0]",2
"[83.0,8.2,1997.0]",3
"[82.0,8.2,2008.0]",3
"[68.0,7.1250461133070315,1996.0]",2
"[81.0,8.4,2003.0]",3
"[83.0,7.1250461133070315,1997.0]",3
"[79.0,8.0,2010.0]",3
"[68.0,7.1250461133070315,2015.0]",0
"[78.0,3.1,2016.0]",3
"[84.0,6.1,2015.0]",3
"[68.0,7.1250461133070315,1988.0]",2
"[68.0,7.1250461133070315,1998.0]",2
"[82.0,7.8,2008.0]",3
"[71.0,0.0,2010.0]",0
"[68.0,7.1250461133070315,2013.0]",0
"[73.0,7.9,2006.0]",0
"[66.0,8.2,2003.0]",2
"[77.0,6.8,2010.0]",3
"[82.0,8.4,2001.0]",3
"[68.0,7.1250461133070315,1998.0]",2
"[62.0,6.2,2007.0]",0
"[82.0,8.1,2011.0]",3
"[68.0,7.1250461133070315,1996.0]",2
"[68.0,7.1250461133070315,1987.0]",2
"[68.0,9.0,1997.0]",2
"[73.0,0.0,0.0]",1
"[68.0,7.1250461133070315,1994.0]",2
"[91.0,8.7,2005.0]",3
"[83.0,6.1,2010.0]",3
"[68.0,7.1250461133070315,1998.0]",2
"[68.0,7.1250461133070315,2001.0]",2
"[71.0,6.9,2011.0]",0
"[96.0,9.1,2004.0]",3
"[62.0,7.6,2004.0]",2
"[85.0,6.4,2007.0]",3
"[83.0,8.8,2004.0]",3
"[42.0,5.5,2010.0]",4
"[85.0,6.8,2009.0]",3
"[68.0,7.1250461133070315,1995.0]",2
"[81.0,8.5,2008.0]",3
"[68.0,7.1250461133070315,1996.0]",2
"[68.0,7.1250461133070315,1998.0]",2
"[73.0,2.9,2011.0]",0
"[71.0,7.2,2007.0]",0
"[89.0,9.0,2015.0]",3
"[78.0,6.6,0.0]",1
"[84.0,8.4,2001.0]",3
"[86.0,6.2,2015.0]",3
"[66.0,6.5,2011.0]",0
"[68.0,8.6,2008.0]",0
"[68.0,7.1250461133070315,2000.0]",2
"[68.0,7.1250461133070315,1997.0]",2
"[84.0,9.1,2004.0]",3
"[86.0,8.5,1999.0]",3
"[68.0,7.1250461133070315,1995.0]",2
"[90.0,7.9,2012.0]",3
"[68.0,7.1250461133070315,1998.0]",2
"[75.0,5.6,2012.0]",0
"[68.0,7.1250461133070315,2004.0]",2
"[76.0,7.7,2013.0]",3
"[68.0,8.3,1997.0]",2
"[68.0,7.1250461133070315,2015.0]",0
"[80.0,6.7,2007.0]",3
"[77.0,8.7,2004.0]",3
"[78.0,6.7,2009.0]",3
"[68.0,7.1250461133070315,1983.0]",2
"[82.0,6.9,2008.0]",3
"[72.0,7.2,2010.0]",0
"[76.0,7.1,2010.0]",3
"[68.0,8.2,2008.0]",0
"[68.0,7.1250461133070315,1997.0]",2
"[71.0,6.6,2011.0]",0
"[81.0,8.9,2002.0]",3
"[88.0,8.9,2001.0]",3
"[80.0,8.6,2009.0]",3
"[76.0,6.3,2016.0]",0
"[87.0,8.2,2016.0]",3
"[84.0,9.0,2002.0]",3
"[68.0,7.1250461133070315,1997.0]",2
"[87.0,9.4,2004.0]",3
"[79.0,5.5,2011.0]",3
"[80.0,7.5,2013.0]",3
"[83.0,7.8,2007.0]",3
"[87.0,8.1,2001.0]",3
"[74.0,5.7,2006.0]",0
